//0																													
//Oxygen,  1.005
//Nitrate, 1,1,6.2,0
//pH, 1,-.021, 0.07
//pH, 2,0.037, 0.01
//pH, 13, 0, -0.044
//pH, 27, -0.005, 0
//pH, 28, -0.010, 0
//pH, 29, -0.005, 0.04
//pH, 40, 0, -0.008
//Chl,  0.1697,  -0.0022
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		271.2	0	1.4024	0	34.7222	0	27.776	0	178.69	0	51.65	0	33.51	0	0.020867	0	0.00012	0	7.9032	0	7.5862	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		261.79	0	1.407	0	34.7213	0	27.775	0	177.78	0	51.39	0	33.99	0	0.020867	0	0.000108	0	7.9018	0	7.5847	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		251.14	0	1.4089	0	34.7211	0	27.774	0	177.18	0	51.22	0	33.74	0	0.020867	0	0.000106	0	7.8998	0	7.5825	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		239.89	0	1.4135	0	34.7196	0	27.773	0	176.68	0	51.08	0	33.82	0	0.022564	0	0.000113	0	7.8983	0	7.5808	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		230.83	0	1.4178	0	34.718	0	27.771	0	176.48	0	51.03	0	33.88	0	0.024261	0	0.000108	0	7.8990	0	7.5812	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		221.05	0	1.4107	0	34.716	0	27.77	0	176.28	0	50.96	0	33.80	0	0.022564	0	0.000108	0	7.8982	0	7.5801	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		211.25	0	1.4099	0	34.7137	0	27.768	0	176.38	0	50.99	0	33.74	0	0.022564	0	0.000109	0	7.8993	0	7.5808	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		200.94	0	1.3795	0	34.7067	0	27.765	0	176.88	0	51.09	0	33.94	0	0.022564	0	0.000112	0	7.8984	0	7.5792	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		190.98	0	1.3764	0	34.7042	0	27.763	0	177.28	0	51.20	0	33.75	0	0.022564	0	0.000112	0	7.8996	0	7.5799	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		180.92	0	1.303	0	34.6896	0	27.758	0	178.99	0	51.59	0	33.67	0	0.025958	0	0.000112	0	7.8995	0	7.5785	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		171.46	0	1.1544	0	34.6623	0	27.748	0	182.51	0	52.40	0	33.96	0	0.029352	0	0.000113	0	7.9037	0	7.5800	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		161.46	0	0.95	0	34.6288	0	27.737	0	190.05	0	54.26	0	33.66	0	0.031049	0	0.000111	0	7.9090	0	7.5817	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		150.96	0	0.7309	0	34.5882	0	27.722	0	200.60	0	56.93	0	33.46	0	0.03614	0	0.000123	0	7.9149	0	7.5838	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		141.32	0	0.5292	0	34.5517	0	27.708	0	208.94	0	58.98	0	33.49	0	0.032746	0	0.000113	0	7.9224	0	7.5876	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		130.75	0	0.327	0	34.5202	0	27.698	0	218.19	0	61.25	0	32.86	0	0.031049	0	0.000119	0	7.9321	0	7.5934	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		121.71	0	-0.1548	0	34.4405	0	27.669	0	235.67	0	65.29	0	32.38	0	0.037837	0	0.000115	0	7.9504	0	7.6033	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		111.35	0	-0.5716	0	34.3586	0	27.632	0	256.98	0	70.37	0	31.46	0	0.054807	0	0.000126	0	7.9711	0	7.6164	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		101.55	0	-0.8018	0	34.2985	0	27.599	0	277.48	0	75.49	0	30.94	0	0.059898	0	0.00012	0	7.9854	0	7.6261	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		96.75	0	-0.9047	0	34.2602	0	27.574	0	287.93	0	78.09	0	30.36	0	0.063292	0	0.00012	0	7.9936	0	7.6320	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		91.6	0	-1.0394	0	34.2339	0	27.562	0	298.69	0	80.70	0	30.14	0	0.07008	0	0.000127	0	8.0014	0	7.6372	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		86.21	0	-1.1351	0	34.1771	0	27.522	0	307.53	0	82.85	0	29.69	0	0.08705	0	0.000127	0	8.0153	0	7.6485	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		81.56	0	-1.1944	0	34.1316	0	27.489	0	315.97	0	84.96	0	28.82	0	0.090444	0	0.000127	0	8.0305	0	7.6615	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		76.31	0	-0.8961	0	34.029	0	27.388	0	324.31	0	87.84	0	28.56	0	0.097232	0	0.00013	0	8.0373	0	7.6715	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		71.87	0	-0.6449	0	33.9603	0	27.316	0	331.75	0	90.42	0	27.89	0	0.093838	0	0.000136	0	8.0430	0	7.6800	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		66.93	0	0.0217	0	33.7635	0	27.109	0	347.43	0	96.25	0	26.16	0	0.083656	0	0.000153	0	8.0511	0	7.6963	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		61.4	0	0.0515	0	33.7571	0	27.102	0	349.64	0	96.93	0	26.20	0	0.080262	0	0.000148	0	8.0525	0	7.6978	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		56.29	0	0.0609	0	33.755	0	27.099	0	350.64	0	97.23	0	26.04	0	0.081959	0	0.000154	0	8.0524	0	7.6976	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		51.81	0	0.0649	0	33.754	0	27.098	0	351.15	0	97.38	0	25.83	0	0.080262	0	0.000158	0	8.0522	0	7.6973	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		46.55	0	0.0637	0	33.7545	0	27.099	0	351.45	0	97.46	0	26.04	0	0.081959	0	0.00016	0	8.0528	0	7.6977	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		41.27	0	0.0654	0	33.754	0	27.098	0	351.65	0	97.52	0	25.79	0	0.075171	0	0.000154	0	8.0520	0	7.6968	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		36.88	0	0.0633	0	33.7531	0	27.098	0	351.95	0	97.60	0	26.01	0	0.075171	0	0.000176	0	8.0520	0	7.6967	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		31.29	0	0.0583	0	33.7528	0	27.098	0	352.25	0	97.67	0	26.12	0	0.064989	0	0.000147	0	8.0521	0	7.6966	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		26.42	0	0.0578	0	33.7528	0	27.098	0	352.35	0	97.70	0	26.12	0	0.061595	0	0.000147	0	8.0509	0	7.6953	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		21.47	0	0.0595	0	33.753	0	27.098	0	352.35	0	97.70	0	26.09	0	0.056504	0	0.00016	0	8.0500	0	7.6942	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		16.03	0	0.0578	0	33.7528	0	27.098	0	352.55	0	97.75	0	26.07	0	0.051413	0	0.000147	0	8.0495	0	7.6936	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		11.54	0	0.0576	0	33.7527	0	27.098	0	352.96	0	97.86	0	26.05	0	0.044625	0	0.000148	0	8.0490	0	7.6930	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979		7.36	0	0.0559	0	33.7529	0	27.098	0	353.36	0	97.97	0	26.18	0	0.03614	0	0.000147	0	8.0478	0	7.6917	0
9091SoOcn	1	C	4/3/2014	23:12	209.976	-63.979																							
