//544																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		211.12	0	8.4573	0	34.1482	0	26.459	0	55.7	0	19	0	30.77	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		201.65	0	8.5842	0	34.1425	0	26.435	0	56.6	0	19.3	0	30.5	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		191.51	0	8.6723	0	34.1386	0	26.418	0	58.6	0	20	0	30.07	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		181.58	0	8.6844	0	34.1266	0	26.406	0	60.3	0	20.6	0	30.11	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		171.73	0	8.8036	0	34.1199	0	26.382	0	61.8	0	21.2	0	29.64	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		161.5	0	8.8801	0	34.1027	0	26.355	0	63.4	0	21.8	0	29.32	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		150.8	0	8.9545	0	34.0838	0	26.328	0	66.7	0	23	0	29.09	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		140.77	0	8.9389	0	34.0486	0	26.301	0	70.5	0	24.2	0	28.82	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		130.93	0	8.9773	0	34.0322	0	26.281	0	72.2	0	24.9	0	28.45	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		121.39	0	8.6393	0	33.9055	0	26.229	0	105.2	0	35.9	0	26.05	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		111.28	0	8.645	0	33.8556	0	26.187	0	120.5	0	41.1	0	25.3	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		101.72	0	8.6903	0	33.8169	0	26.148	0	128.6	0	43.9	0	24.79	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		96.14	0	8.8967	0	33.8352	0	26.13	0	128.5	0	44.1	0	25.32	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		91.59	0	8.7926	0	33.7746	0	26.096	0	126.2	0	43.2	0	24.82	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		86.1	0	8.8792	0	33.7203	0	26.037	0	131.6	0	45.1	0	23.76	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		81.66	0	8.893	0	33.7182	0	26.033	0	136.5	0	46.8	0	23.73	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		76.22	0	9.3446	0	33.7049	0	25.949	0	137	0	47.4	0	23.53	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		71.21	0	9.4755	0	33.7117	0	25.933	0	137.3	0	47.7	0	23.27	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		66.46	0	9.7903	0	33.7023	0	25.873	0	137.6	0	48.1	0	23.19	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		61.33	0	9.9291	0	33.6896	0	25.839	0	136.8	0	48	0	23.22	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		56.63	0	10.0817	0	33.6782	0	25.804	0	138	0	48.5	0	22.83	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		51.9	0	10.4627	0	33.6406	0	25.707	0	145.3	0	51.5	0	21.98	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		46.66	0	10.938	0	33.6033	0	25.591	0	158.2	0	56.7	0	20.75	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		41.7	0	11.2763	0	33.6038	0	25.53	0	170.8	0	61.6	0	19.42	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		35.87	0	11.1899	0	33.5512	0	25.502	0	179.4	0	64.6	0	19.19	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		31.24	0	11.8067	0	33.5487	0	25.386	0	181.8	0	66.3	0	17.63	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		26.36	0	12.0698	0	33.5704	0	25.355	0	194.1	0	71.2	0	15.15	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		21.58	0	12.2451	0	33.5617	0	25.314	0	205	0	75.5	0	14.69	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		16.85	0	12.7454	0	33.4052	0	25.085	0	215.7	0	80.2	0	12.23	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		11.71	0	14.2033	0	33.3757	0	24.763	0	252	0	96.6	0	6.85	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746		7.79	0	14.6181	0	33.3581	0	24.66	0	260.2	0	100.6	0	5.67	0
5145MtyBay	1	C	9/17/2007	23:28	237.531	36.746															
5145MtyBay	2	C	9/18/2007	9:53	237.484	36.775		950.95	0	4.1644	0	34.4118	0	27.249	0	12	0	3.7	0	42.98	0
5145MtyBay	2	C	9/18/2007	9:53	237.484	36.775		901.51	0	4.2352	0	34.3981	0	27.23	0	11.1	0	3.4	0	42.9	0
