//0																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		    76.84	0	  9.9783	0	33.7898	0	25.914	0	117.5	0	41.3	0	22.41	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537		    71.47	0	 10.0235	0	33.7448	0	25.869	0	123.5	0	43.4	0	21.64	0
6401MtyBay	 1	C	08/03/2009	22:40	237.657	 36.537																	
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		  1098.05	0	  3.7877	0	34.4674	0	27.337	0	16.8	0	5.1	0	40.29	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   999.40	0	  4.1033	0	34.4391	0	27.279	0	13.0	0	4.0	0	40.18	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   951.13	0	  4.2605	0	34.4118	0	27.239	0	9.9	0	3.1	0	40.49	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   901.00	0	  4.4474	0	34.4032	0	27.21	0	8.2	0	2.5	0	40.23	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   851.33	0	  4.6127	0	34.3952	0	27.184	0	7.7	0	2.4	0	39.93	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   801.46	0	  4.7020	0	34.3661	0	27.15	0	6.9	0	2.2	0	39.77	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   751.14	0	  4.8713	0	34.3426	0	27.111	0	6.8	0	2.1	0	39.56	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   701.45	0	  5.2052	0	34.3261	0	27.057	0	7.0	0	2.2	0	38.57	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   651.06	0	  5.3961	0	34.2955	0	27.008	0	8.0	0	2.5	0	38.21	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   601.14	0	  5.6891	0	34.2839	0	26.961	0	9.7	0	3.1	0	37.42	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   551.30	0	  5.8993	0	34.2462	0	26.903	0	13.2	0	4.2	0	36.67	0
